HeartRate,BloodOxygenLevel,NoiseLevel,Score,NewScore
63.761180919634945,97.47915013277375,70.46882857919077,88.70915963159948,99.99998660907491
78.24078928642103,99.1778809401674,77.59738301164388,87.98394676176767,99.99998437301777
64.4349490844719,97.10522574584073,69.53731688526477,88.0774917155774,99.99998719086905
62.17932275549953,99.56524770884177,62.65756331033444,78.2716383569922,99.99997916076572
80.94329873868851,97.84691631193098,67.76180448058248,81.66542205382495,99.99997694322659
80.89464866043785,97.58434190257448,69.14955004796346,82.83924329010007,99.99997787038158
63.41636602961073,98.37593740989249,78.29140890745605,89.7490197122622,99.99998677552253
46.74678265400679,97.34448825242428,76.50843538725309,74.58283551917799,99.99995944596753
61.84842167311516,96.27900686899352,67.90031142427858,83.02773996638729,99.99998178612702
57.85167844007786,98.29500926358595,68.62185909992613,81.17852827641802,99.99997541240921
55.534564655058446,97.13255296275972,71.05447018336974,80.72158780118792,99.99997294262893
61.381524662197634,99.56773850308346,70.62683740650341,85.44062356561759,99.99998264894433
45.08756292647497,96.52972191164262,68.08606045944092,66.70334529755851,99.99995332932441
76.21054929232227,99.20247040714666,73.41005630953963,90.9970366100707,99.99998844654391
70.60193885383207,97.4787330220706,69.89933124730415,93.77612541554268,99.99999587099519
84.28210671407521,98.28402205014945,77.10897115780512,83.32490007797024,99.99997437238416
66.93943045825858,97.7082486240004,72.48066951222204,94.12834859448104,99.99999325046905
75.3849055023166,96.71633924286304,81.58486459078777,86.74656914975867,99.99998681526313
73.4265306483603,100.25434278135222,81.25449913831882,88.06462743196866,99.99999035439659
60.094177730375975,97.9896669283148,80.84310097807119,84.24074368061959,99.99997956036107
64.23267055896449,97.90070730301504,81.91631241697763,87.21706544500188,99.99998596176589
76.3772710050271,97.74510823834648,67.28280451814449,85.65064175146388,99.99998443487375
55.0438335470907,97.23646410191408,71.4701396797427,80.75043732874747,99.99997235902138
64.4790611874264,96.77171994862816,69.03972524438025,87.2905063804348,99.99998696335308
71.9828905981355,98.47599589161436,81.28029752780053,91.2608159824496,99.99999279946584
52.93909509307284,97.5330338883966,69.63225398321454,77.10438296468396,99.99996765331053
68.58068724858971,97.53513217972814,68.07042337340316,91.186242801721,99.99999336512937
82.86367416858606,98.17852103104042,66.34152665982208,78.2993314601956,99.99997280582232
56.94114872054756,97.70774538553616,74.42116068850542,86.07005479458914,99.99997738833835
71.13932904699804,96.34667875661304,82.31112621576362,89.89622349385137,99.9999936102631
61.79164876339142,95.73376815171176,76.92037626989273,87.60504064521045,99.99998484016398
71.50158317014737,97.48633608518509,75.25391885848614,97.73083405655156,99.9999972859989
66.40977255235963,97.98803780327434,82.15925107567928,89.23855927995469,99.99998952496499
88.31680001973557,98.19763238347564,73.8008461089472,80.286413705736,99.99996804851126
62.113598828285426,98.17694998321116,68.03131836782111,84.96796721289539,99.99998231783346
68.46615947224062,98.26381988467038,71.75985129665965,94.96219088422988,99.99999541435605
64.51771251649582,98.97945845239497,73.5694908223437,92.10774488644456,99.99998978489728
75.27728513099733,99.04081915056818,71.22818043465507,89.91007615308956,99.99998871001021
77.35607677718474,95.35536607187376,82.77028658592575,82.22900270876328,99.99998273414796
65.66959777741394,97.57869976693986,72.48716384226972,92.73546138662353,99.99999108992046
55.53027244701365,97.76228995451572,88.06713105154923,72.22543134998013,99.99996738623084
69.3444508722707,96.54540589205438,70.99980872808528,93.88966549241036,99.99999644908367
